ACADEMIE_ET_ASSIMILE,FRANCE_DETAILLE,ASSIMILE,LIBELLE_COURT,LIBELLE_LONG,DATE_OUVERTURE,DATE_FERMETURE,DATE_INTERVENTION,LIBELLE_70,N_COMMENTAIRE,ARTICLE_CHARNIERE,REGION_ACADEMIQUE,RECTEUR_REGION_ACADEMIQUE,NATURE_TERRITOIRE,ACADEMIE_OU_FUSION
67,199,O,FRANCE,FRANCE METRO + DOM + COM,,,15/10/2021,France entière,,,99,-,-,99
91,210,O,UE,UNION EUROPEENNE,,,15/10/2021,Union européenne,,,99,-,-,99
98,199,O,AGRI,AGRICULTURE,01/09/2010,,15/10/2021,Agriculture,pseudo-académie utilisée dans les programmes scolarité et demandée pour la mise en place de sconet sdo pour l'agriculture,,99,-,-,99
99,199,O,NON DEFINI,NON DEFINI OU SANS OBJET,07/06/1996,,15/10/2021,Non définie ou sans objet,,,99,-,-,99
$,$,O,NON RENS,NON RENSEIGNE,,,15/10/2021,Non renseignée,,,99,-,-,99
#,#,O,NON RECENS,NON RECENSEE,,,15/10/2021,Non recensée,,,99,-,-,99
54,199,O,SIEC IDF,SIEC ILE DE FRANCE,01/09/2005,,15/10/2021,Service interacadémique des examens et concours ile de France,,,99,-,-,99
61,111,O,FR. METRO,FRANCE METRO,,,15/10/2021,France métropolitaine,,,99,-,-,99
62,112,O,DOM,DOM,,,15/10/2021,Départements d'Outre-Mer,,,99,-,-,99
63,121,O,COM,COM,,,15/10/2021,Collectivités d'Outre-Mer,,,99,-,-,99
66,199,O,FR MET+DOM,FRANCE METRO + DOM,,,15/10/2021,France métropolitaine et DOM,,,99,-,-,99
02,111,N,AIX-MARS.,AIX-MARSEILLE,01/01/1993,,08/07/2021,Aix-Marseille,,1,18,O,AC,02
13,111,N,POITIERS,POITIERS,01/01/1993,,10/05/2019,Poitiers,,0,15,N,AC,13
03,111,N,BESANCON,BESANCON,01/01/1993,,10/05/2019,Besançon,,0,02,O,AC,03
70,111,N,NORMANDIE,NORMANDIE,01/01/2020,,26/11/2019,Normandie,01/01/2020 : création de l'académie de Normandie- fusion des académies de Caen et Rouen,0,14,O,AC,70
04,111,N,BORDEAUX,BORDEAUX,01/01/1993,,10/05/2019,Bordeaux,,0,15,O,AC,04
05,111,O,CAEN,CAEN,01/01/1993,,06/04/2021,Caen,01/01/2020 : fusion des académies de Caen et Rouen dans l'académie de Normandie- Caen devient un regroupement de départements- changement de valeur de la colonne ASSIMILE de N vers O,0,14,-,RD,70
06,111,N,CLERMONT-F,CLERMONT-FERRAND,01/01/1993,,10/05/2019,Clermont-Ferrand,,0,01,N,AC,06
21,111,O,ROUEN,ROUEN,01/01/1993,,06/04/2021,Rouen,01/01/2020 : fusion des académies de Caen et Rouen dans l'académie de Normandie- Caen devient un regroupement de départements- changement de valeur de la colonne ASSIMILE de N vers O,0,14,-,RD,70
07,111,N,DIJON,DIJON,01/01/1993,,10/05/2019,Dijon,,0,02,N,AC,07
08,111,N,GRENOBLE,GRENOBLE,01/01/1993,,10/05/2019,Grenoble,,0,01,N,AC,08
09,111,N,LILLE,LILLE,01/01/1993,,10/05/2019,Lille,,0,09,O,AC,09
10,111,N,LYON,LYON,01/01/1993,,10/05/2019,Lyon,,0,01,O,AC,10
11,111,N,MONTPELL.,MONTPELLIER,01/01/1993,,10/05/2019,Montpellier,,0,16,O,AC,11
12,111,N,NANCY-METZ,NANCY-METZ,01/01/1993,,10/05/2019,Nancy-Metz,,0,06,O,AC,12
14,111,N,RENNES,RENNES,01/01/1993,,10/05/2019,Rennes,,0,03,O,AC,14
15,111,N,STRASBOURG,STRASBOURG,01/01/1993,,10/05/2019,Strasbourg,,0,06,N,AC,15
16,111,N,TOULOUSE,TOULOUSE,01/01/1993,,10/05/2019,Toulouse,,0,16,N,AC,16
17,111,N,NANTES,NANTES,01/01/1993,,10/05/2019,Nantes,,0,17,O,AC,17
18,111,N,ORLEANS-T,ORLEANS-TOURS,01/01/1993,,10/05/2019,Orléans-Tours,,1,04,O,AC,18
19,111,N,REIMS,REIMS,01/01/1993,,10/05/2019,Reims,,0,06,N,AC,19
20,111,N,AMIENS,AMIENS,01/01/1993,,10/05/2019,Amiens,,1,09,N,AC,20
01,111,N,PARIS,PARIS,01/01/1993,,10/05/2019,Paris,,0,10,O,AC,01
22,111,N,LIMOGES,LIMOGES,01/01/1993,,10/05/2019,Limoges,,0,15,N,AC,22
23,111,N,NICE,NICE,01/01/1993,,10/05/2019,Nice,,0,18,N,AC,23
24,111,N,CRETEIL,CRETEIL,01/01/1993,,10/05/2019,Créteil,,0,10,N,AC,24
25,111,N,VERSAILLES,VERSAILLES,01/01/1993,,10/05/2019,Versailles,,0,10,N,AC,25
27,111,N,CORSE,CORSE,01/01/1993,,10/05/2019,Corse,,0,05,O,AC,27
28,112,N,LA REUNION,LA REUNION,01/01/1993,,10/05/2019,La Réunion,,0,11,O,AC,28
31,112,N,MARTINIQUE,MARTINIQUE,01/01/1997,,10/05/2019,Martinique,,0,12,O,AC,31
32,112,N,GUADELOUPE,GUADELOUPE,01/01/1997,,10/05/2019,Guadeloupe,,0,07,O,AC,32
33,112,N,GUYANE,GUYANE,01/01/1997,,10/05/2019,Guyane,,0,08,O,AC,33
26,112,N,ANTILLES-G,ANTILLES-GUYANE,01/01/1993,31/12/1996,10/05/2019,Antilles-Guyane,,,99,-,AC,99
43,112,N,MAYOTTE,MAYOTTE,04/07/1994,,10/04/2020,Mayotte,septembre 2012 : changement sur FRANCE_DETAILLE - passage de COM en DOM suite à signalement SIFA - 01/01/2020 : Mayotte devient une académie- changement de valeur de ASSIMILE de O vers N- REGION_ACADEMIQUE de 00 à 13,0,13,O,AC,43
40,121,O,N.CALEDONI,NOUVELLE CALEDONIE,01/09/1993,,10/05/2019,Nouvelle Calédonie,,0,00,-,VR,40
41,121,O,POLYNESIE,POLYNESIE FRANCAISE,04/07/1994,,10/05/2019,Polynésie Française,,0,00,-,VR,41
42,121,O,WALLIS,WALLIS ET FUTUNA,04/07/1994,,10/05/2019,Wallis et Futuna,,0,00,-,VR,42
44,121,O,MIQUELON,ST PIERRE ET MIQUELON,04/07/1994,,10/05/2019,Saint Pierre et Miquelon,,0,00,-,VR,44
00,220,O,ETRANGER,ETRANGER,01/01/1993,,10/05/2019,Etranger,,,99,-,-,99
